Year,Round,Pick,Player,Position,NBA Team,Prev Team
2007,1,1,"Oden, Greg",C,Portland Trail Blazers,Ohio State
2007,1,2,"Durant, Kevin",SF,Seattle SuperSonics,Texas
2007,1,3,"Horford, Al",C,Atlanta Hawks,Florida
2007,1,4,"Conley, Mike",PG,Memphis Grizzlies,Ohio State
2007,1,5,"Green, Jeff",SF,Boston Celtics,Georgetown
2007,1,6,"Yi, Jianlian",PF,Milwaukee Bucks,Guangdong Southern Tigers
2007,1,7,"Brewer, Corey",SF,Minnesota Timberwolves,Florida
2007,1,8,"Wright, Brandan",PF,Charlotte Bobcats,North Carolina
2007,1,9,"Noah, Joakim",C,Chicago Bulls,Florida
2007,1,10,"Hawes, Spencer",C,Sacramento Kings,Washington
2007,1,11,"Law, Acie",PG,Atlanta Hawks,Texas A&M
2007,1,12,"Young, Thaddeus",PF,Philadelphia 76ers,Georgia Tech
2007,1,13,"Wright, Julian",SF,New Orleans Hornets,Kansas
2007,1,14,"Thornton, Al",SF,Los Angeles Clippers,Florida State
2007,1,15,"Stuckey, Rodney",SG,Detroit Pistons,Eastern Washington
2007,1,16,"Young, Nick",SG,Washington Wizards,USC
2007,1,17,"Williams, Sean",PF,New Jersey Nets,Boston College
2007,1,18,"Belinelli, Marco",SG,Golden State Warriors,Fortitudo Bologna
2007,1,19,"Crittenton, Javaris",PG,Los Angeles Lakers,Georgia Tech
2007,1,20,"Smith, Jason",PF,Miami Heat,Colorado State
2007,1,21,"Cook, Daequan",SG,Philadelphia 76ers,Ohio State
2007,1,22,"Dudley, Jared",SF,Charlotte Bobcats,Boston College
2007,1,23,"Chandler, Wilson",SF,New York Knicks,DePaul
2007,1,24,"Fernández, Rudy",SG,Phoenix Suns,Joventut Badalona
2007,1,25,"Almond, Morris",SG,Utah Jazz,Rice
2007,1,26,"Brooks, Aaron",PG,Houston Rockets,Oregon
2007,1,27,"Afflalo, Arron",SG,Detroit Pistons,UCLA
2007,1,28,"Splitter, Tiago",C,San Antonio Spurs,TAU Cerámica
2007,1,29,"Tucker, Alando",SF,Phoenix Suns,Wisconsin
2007,1,30,"Koponen, Petteri",SG,Philadelphia 76ers,Tapiolan Honka
2007,2,31,"Landry, Carl",PF,Seattle SuperSonics,Purdue
2007,2,32,"Pruitt, Gabe",PG,Boston Celtics,USC
2007,2,33,"Williams, Marcus",SF,San Antonio Spurs,Arizona
2007,2,34,"Fazekas, Nick",PF,Dallas Mavericks,Nevada
2007,2,35,"Davis, Glen",PF,Seattle SuperSonics,LSU
2007,2,36,"Davidson, Jermareo",PF,Golden State Warriors,Alabama
2007,2,37,"McRoberts, Josh",PF,Portland Trail Blazers,Duke
2007,2,38,"Fesenko, Kyrylo",C,Philadelphia 76ers,SK Cherkassy
2007,2,39,"Barać, Stanko",C,Miami Heat,Široki Brijeg
2007,2,40,"Sun, Yue",SF,Los Angeles Lakers,Beijing Olympians
2007,2,41,"Richard, Chris",PF,Minnesota Timberwolves,Florida
2007,2,42,"Byars, Derrick",SG,Portland Trail Blazers,Vanderbilt
2007,2,43,"Haluska, Adam",SG,New Orleans Hornets,Iowa
2007,2,44,"Terry, Reyshawn",SF,Orlando Magic,North Carolina
2007,2,45,"Jordan, Jared",PG,Los Angeles Clippers,Marist
2007,2,46,"Lasme, Stephane",PF,Golden State Warriors,Massachusetts
2007,2,47,"McGuire, Dominic",SF,Washington Wizards,Fresno State
