Year,Round,Pick,Player,Position,NBA Team,Prev Team,Games Played,Games Started,Minutes,Points Per Game,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,Rebounds,DBoards,OBoards,Assists,Turnovers,Steals,Blocks,Fouls
2007,1,1,Greg Oden,C,POR,Ohio State,105,66,19.3,8,5.26,3.02,0.574,0,0,0,2.98,1.96,0.658,6.25,3.81,2.44,0.49,1.31,0.38,1.24,3.56
2007,1,2,Kevin Durant,SF,SEA,Texas,703,703,37.4,27.2,18.85,9.19,0.488,4.72,1.79,0.38,7.96,7.02,0.882,7.16,6.37,0.79,3.79,3.16,1.2,1.05,1.89
2007,1,3,Al Horford,FC,ATL,Florida,646,642,33.3,14.3,11.49,6.07,0.528,0.87,0.3,0.347,2.48,1.86,0.748,8.68,6.4,2.28,2.98,1.59,0.83,1.22,2.38
2007,1,4,Mike Conley,PG,MEM,Ohio State,706,676,32.6,14.24,11.61,5.14,0.443,3.39,1.28,0.379,3.28,2.67,0.815,2.92,2.5,0.42,5.68,2.04,1.49,0.19,1.98
2007,1,5,Jeff Green,F,BOS,Georgetown,705,484,31.1,13.51,11.39,4.96,0.435,3.01,1,0.333,3.27,2.59,0.792,4.7,3.72,0.98,1.61,1.61,0.77,0.56,2.27
2007,1,6,Jianlian Yi,F,MIL,Guangdong Southern (China),272,163,22.2,7.9,7.4,2.99,0.404,0.83,0.28,0.333,2.11,1.64,0.78,4.92,3.53,1.39,0.71,1.11,0.5,0.68,2.27
2007,1,7,Corey Brewer,GF,MIN,Florida,711,289,24,9.23,8.26,3.5,0.424,2.28,0.64,0.283,2.23,1.59,0.713,2.88,2.12,0.76,1.61,1.24,1.28,0.28,2.19
2007,1,8,Brandan Wright,F,CHA,North Carolina,400,61,16.4,7.09,4.98,3.03,0.608,0.03,0,0,1.53,1.03,0.676,3.66,2.28,1.38,0.47,0.48,0.46,1,1.35
2007,1,9,Joakim Noah,FC,CHI,Florida,618,510,28.9,8.99,7.02,3.44,0.49,0.02,0,0,3.01,2.1,0.699,9.36,6.01,3.35,2.92,1.74,0.83,1.36,2.85
2007,1,10,Spencer Hawes,C,SAC,Washington,684,368,22.7,8.67,7.84,3.58,0.457,1.5,0.52,0.35,1.37,0.98,0.716,5.69,4.24,1.45,1.86,1.42,0.39,0.95,2.5
2007,1,11,Acie Law,SG,ATL,Texas A&M;,188,8,12.7,3.86,3.39,1.4,0.413,0.61,0.14,0.235,1.18,0.91,0.778,1.04,0.86,0.18,1.64,0.77,0.44,0.02,1.03
2007,1,12,Thaddeus Young,F,PHL,Georgia Tech,739,509,30.6,13.62,11.72,5.86,0.5,1.23,0.4,0.327,2.22,1.51,0.679,5.91,3.93,1.98,1.53,1.44,1.43,0.4,2.18
